zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
NP15,2026/8/18 8:00,19.3377533,600,1.315810442,2026/8/18
SP15,2026/8/18 8:00,27.04170227,600,2.739158154,2026/8/18
ZP26,2026/8/18 8:00,21.45207214,600,1.699726105,2026/8/18
NP15,2026/8/18 7:00,18.14044189,400,1.226207256,2026/8/18
SP15,2026/8/18 7:00,25.79186058,400,2.95680666,2026/8/18
ZP26,2026/8/18 7:00,20.20537376,400,1.761823177,2026/8/18
NP15,2026/8/18 6:00,16.94313049,200,1.136604071,2026/8/18
SP15,2026/8/18 6:00,24.54201698,200,3.174454927,2026/8/18
ZP26,2026/8/18 6:00,18.95867348,200,1.823920369,2026/8/18
NP15,2026/8/18 5:00,15.74581909,0,1.047000885,2026/8/18
SP15,2026/8/18 5:00,23.29217529,0,3.392103195,2026/8/18
ZP26,2026/8/18 5:00,17.7119751,0,1.886017442,2026/8/18
NP15,2026/8/18 4:00,16.17861366,101.954071,0.975619614,2026/8/18
SP15,2026/8/18 4:00,23.78368187,88.65630341,3.491716146,2026/8/18
ZP26,2026/8/18 4:00,18.22080421,102.0651855,1.998646736,2026/8/18
NP15,2026/8/18 3:00,16.61141014,203.9081421,0.904238284,2026/8/18
SP15,2026/8/18 3:00,24.27518654,177.3126068,3.591329098,2026/8/18
ZP26,2026/8/18 3:00,18.72963524,204.1303711,2.111275911,2026/8/18
NP15,2026/8/18 2:00,17.04420471,305.8622131,0.832857013,2026/8/18
SP15,2026/8/18 2:00,24.76669312,265.9689026,3.690942049,2026/8/18
ZP26,2026/8/18 2:00,19.23846436,306.1955566,2.223905325,2026/8/18
NP15,2026/8/18 1:00,17.47699928,407.8162842,0.761475742,2026/8/18
SP15,2026/8/18 1:00,25.25819969,354.6252136,3.790555,2026/8/18
ZP26,2026/8/18 1:00,19.74729347,408.2607422,2.3365345,2026/8/18
NP15,2026/8/18 0:00,17.90979576,509.7703552,0.690094411,2026/8/18
SP15,2026/8/18 0:00,25.74970436,443.2814941,3.890167952,2026/8/18
ZP26,2026/8/18 0:00,20.2561245,510.3259277,2.449163914,2026/8/18
NP15,2026/8/17 23:00,18.34259033,611.7244263,0.61871314,2026/8/17
SP15,2026/8/17 23:00,26.24121094,531.9378052,3.989780903,2026/8/17
ZP26,2026/8/17 23:00,20.76495361,612.3911133,2.561793089,2026/8/17
NP15,2026/8/17 22:00,19.49656105,709.7703857,0.942288339,2026/8/17
SP15,2026/8/17 22:00,27.24330711,643.2814941,3.999608278,2026/8/17
ZP26,2026/8/17 22:00,22.00584984,710.3259277,2.574748993,2026/8/17
NP15,2026/8/17 21:00,20.65053368,807.8162842,1.265863538,2026/8/17
SP15,2026/8/17 21:00,28.24540138,754.6251831,4.009435654,2026/8/17
ZP26,2026/8/17 21:00,23.24674416,808.2607422,2.587704659,2026/8/17
NP15,2026/8/17 20:00,21.80450439,905.8621826,1.589438796,2026/8/17
SP15,2026/8/17 20:00,29.24749756,865.9688721,4.019262791,2026/8/17
ZP26,2026/8/17 20:00,24.48764038,906.1955566,2.600660563,2026/8/17
NP15,2026/8/17 19:00,22.95847511,1003.908142,1.913014054,2026/8/17
SP15,2026/8/17 19:00,30.24959373,977.3126221,4.029089928,2026/8/17
ZP26,2026/8/17 19:00,25.72853661,1004.130371,2.613616467,2026/8/17
NP15,2026/8/17 18:00,24.11244774,1101.954102,2.236589193,2026/8/17
SP15,2026/8/17 18:00,31.251688,1088.65625,4.038917542,2026/8/17
ZP26,2026/8/17 18:00,26.96943092,1102.065186,2.626572132,2026/8/17
NP15,2026/8/17 17:00,25.26641846,1200,2.560164452,2026/8/17
SP15,2026/8/17 17:00,32.25378418,1200,4.048744678,2026/8/17
ZP26,2026/8/17 17:00,28.21032715,1200,2.639528036,2026/8/17
NP15,2026/8/17 16:00,25.0549984,1200,2.30449605,2026/8/17
SP15,2026/8/17 16:00,31.94857216,1200,3.843696117,2026/8/17
ZP26,2026/8/17 16:00,27.74567604,1200,2.389630318,2026/8/17
NP15,2026/8/17 15:00,24.84357643,1200,2.04882741,2026/8/17
SP15,2026/8/17 15:00,31.64336205,1200,3.638647556,2026/8/17
ZP26,2026/8/17 15:00,27.28102684,1200,2.139732361,2026/8/17
NP15,2026/8/17 14:00,24.63215637,1200,1.793159008,2026/8/17
SP15,2026/8/17 14:00,31.33815002,1200,3.433598995,2026/8/17
ZP26,2026/8/17 14:00,26.81637573,1200,1.889834642,2026/8/17
NP15,2026/8/17 13:00,24.42073631,1200,1.537490487,2026/8/17
SP15,2026/8/17 13:00,31.032938,1200,3.228550196,2026/8/17
ZP26,2026/8/17 13:00,26.35172462,1200,1.639936805,2026/8/17
NP15,2026/8/17 12:00,24.20931435,1200,1.281821966,2026/8/17
SP15,2026/8/17 12:00,30.72772789,1200,3.023501635,2026/8/17
ZP26,2026/8/17 12:00,25.88707542,1200,1.390038967,2026/8/17
NP15,2026/8/17 11:00,23.99789429,1200,1.026153445,2026/8/17
SP15,2026/8/17 11:00,30.42251587,1200,2.818453074,2026/8/17
ZP26,2026/8/17 11:00,25.42242432,1200,1.140141129,2026/8/17
NP15,2026/8/17 10:00,22.72035789,1000,1.014009595,2026/8/17
SP15,2026/8/17 10:00,29.19395447,1000,2.899447441,2026/8/17
ZP26,2026/8/17 10:00,24.17409706,1000,1.196441174,2026/8/17
NP15,2026/8/17 9:00,21.4428196,800,1.001865625,2026/8/17
SP15,2026/8/17 9:00,27.96539307,800,2.980441809,2026/8/17
ZP26,2026/8/17 9:00,22.92577171,800,1.252741098,2026/8/17
NP15,2026/8/17 8:00,20.1652832,600,0.989721775,2026/8/17
SP15,2026/8/17 8:00,26.73683167,600,3.061436176,2026/8/17
ZP26,2026/8/17 8:00,21.67744446,600,1.309041023,2026/8/17
NP15,2026/8/17 7:00,18.88774681,400,0.977577925,2026/8/17
SP15,2026/8/17 7:00,25.50827026,400,3.142430544,2026/8/17
ZP26,2026/8/17 7:00,20.4291172,400,1.365341067,2026/8/17
NP15,2026/8/17 6:00,17.61020851,200,0.965434074,2026/8/17
SP15,2026/8/17 6:00,24.27970886,200,3.223424911,2026/8/17
ZP26,2026/8/17 6:00,19.18079185,200,1.421641111,2026/8/17
NP15,2026/8/17 5:00,16.33267212,0,0.953290164,2026/8/17
SP15,2026/8/17 5:00,23.05114746,0,3.304419279,2026/8/17
ZP26,2026/8/17 5:00,17.9324646,0,1.477941036,2026/8/17
NP15,2026/8/17 4:00,16.77973366,103.3037033,0.905083179,2026/8/17
SP15,2026/8/17 4:00,23.53253746,87.88592529,3.468191147,2026/8/17
ZP26,2026/8/17 4:00,18.4291935,100.2622147,1.610503197,2026/8/17
NP15,2026/8/17 3:00,17.2267971,206.6074066,0.856876135,2026/8/17
SP15,2026/8/17 3:00,24.01392555,175.7718506,3.631962776,2026/8/17
ZP26,2026/8/17 3:00,18.9259243,200.5244293,1.743065238,2026/8/17
NP15,2026/8/17 2:00,17.67385864,309.9111023,0.80866915,2026/8/17
SP15,2026/8/17 2:00,24.49531555,263.6577759,3.795734406,2026/8/17
ZP26,2026/8/17 2:00,19.4226532,300.7866516,1.875627398,2026/8/17
NP15,2026/8/17 1:00,18.12092018,413.2148132,0.760462165,2026/8/17
SP15,2026/8/17 1:00,24.97670555,351.5437012,3.959506273,2026/8/17
ZP26,2026/8/17 1:00,19.9193821,401.0488586,2.00818944,2026/8/17
NP15,2026/8/17 0:00,18.56798363,516.5184937,0.71225512,2026/8/17
SP15,2026/8/17 0:00,25.45809364,439.4296265,4.123278141,2026/8/17
ZP26,2026/8/17 0:00,20.4161129,501.3110962,2.1407516,2026/8/17
NP15,2026/8/16 23:00,19.01504517,619.8222046,0.664048135,2026/8/16
SP15,2026/8/16 23:00,25.93948364,527.3155518,4.28704977,2026/8/16
ZP26,2026/8/16 23:00,20.9128418,601.5733032,2.273313761,2026/8/16
NP15,2026/8/16 22:00,20.20489502,716.5184937,0.975663185,2026/8/16
SP15,2026/8/16 22:00,26.88187599,639.4296265,4.280876637,2026/8/16
ZP26,2026/8/16 22:00,22.10910034,701.3110962,2.311072111,2026/8/16
NP15,2026/8/16 21:00,21.39474487,813.2147827,1.287278295,2026/8/16
SP15,2026/8/16 21:00,27.82427025,751.5437012,4.274703503,2026/8/16
ZP26,2026/8/16 21:00,23.30535889,801.0488892,2.348830462,2026/8/16
NP15,2026/8/16 20:00,22.58459473,909.9111328,1.598893404,2026/8/16
SP15,2026/8/16 20:00,28.7666626,863.6577759,4.268530846,2026/8/16
ZP26,2026/8/16 20:00,24.50161743,900.7866211,2.386588812,2026/8/16
NP15,2026/8/16 19:00,23.77444458,1006.607422,1.910508394,2026/8/16
SP15,2026/8/16 19:00,29.70905495,975.7718506,4.262357712,2026/8/16
ZP26,2026/8/16 19:00,25.69787598,1000.524414,2.424347162,2026/8/16
NP15,2026/8/16 18:00,24.96429443,1103.303711,2.222123623,2026/8/16
SP15,2026/8/16 18:00,30.6514492,1087.885986,4.256184578,2026/8/16
ZP26,2026/8/16 18:00,26.89413452,1100.262207,2.462105513,2026/8/16
NP15,2026/8/16 17:00,26.15414429,1200,2.533738613,2026/8/16
SP15,2026/8/16 17:00,31.59384155,1200,4.250011444,2026/8/16
ZP26,2026/8/16 17:00,28.09039307,1200,2.499863863,2026/8/16
NP15,2026/8/16 16:00,25.73319054,1200,2.362269402,2026/8/16
SP15,2026/8/16 16:00,31.32404137,1200,4.000956535,2026/8/16
ZP26,2026/8/16 16:00,27.59477234,1200,2.254196882,2026/8/16
NP15,2026/8/16 15:00,25.31223488,1200,2.190799952,2026/8/16
SP15,2026/8/16 15:00,31.05423927,1200,3.751902103,2026/8/16
ZP26,2026/8/16 15:00,27.09915161,1200,2.00853014,2026/8/16
NP15,2026/8/16 14:00,24.89128113,1200,2.01933074,2026/8/16
SP15,2026/8/16 14:00,30.78443909,1200,3.502847195,2026/8/16
ZP26,2026/8/16 14:00,26.60353088,1200,1.762863159,2026/8/16
NP15,2026/8/16 13:00,24.47032738,1200,1.847861409,2026/8/16
SP15,2026/8/16 13:00,30.5146389,1200,3.253792524,2026/8/16
ZP26,2026/8/16 13:00,26.10791016,1200,1.517196178,2026/8/16
NP15,2026/8/16 12:00,24.04937172,1200,1.676392078,2026/8/16
